#k [h/Mpc]	B(k,z=0.000000)
5.981600	34.047414
6.009880	34.157281
6.041290	34.282722
6.069560	34.390659
6.097840	34.501965
6.129260	34.627270
6.160670	34.747852
6.188940	34.858105
6.217220	34.968068
6.248640	35.088956
6.280060	35.210226
6.311470	35.329090
6.342890	35.449769
6.374300	35.569268
6.405720	35.688845
6.437140	35.809513
6.468550	35.928151
6.499970	36.047302
6.531380	36.165612
6.562800	36.283974
6.594220	36.402649
6.625630	36.519836
6.657050	36.634593
6.688460	36.750923
6.723030	36.876391
6.757580	37.006322
6.789000	37.120789
6.820410	37.232171
6.854980	37.359995
6.889520	37.483220
6.924090	37.608150
6.958640	37.733287
6.990060	37.845134
7.024610	37.967948
7.059170	38.091287
7.093740	38.212284
7.128290	38.334239
7.162850	38.456959
7.197400	38.582411
7.231960	38.699292
7.269660	38.829072
7.304210	38.952458
7.338780	39.072687
7.376480	39.200900
7.414180	39.333571
7.448730	39.450844
7.483290	39.567634
7.520990	39.695786
7.558690	39.823480
7.596390	39.951285
7.634090	40.079218
7.671790	40.207248
7.709480	40.331840
7.747180	40.459450
7.784880	40.583904
7.822580	40.710121
7.860280	40.834039
7.897980	40.957688
7.935680	41.080516
7.973380	41.204953
8.011080	41.328146
8.051930	41.460384
8.092760	41.590511
8.130460	41.712345
8.171300	41.842602
8.212140	41.976601
8.249840	42.095249
8.290690	42.224049
8.331520	42.353026
8.372370	42.485817
8.413200	42.611480
8.454050	42.738887
8.494880	42.865945
8.535730	42.992474
8.579710	43.127577
8.620540	43.253402
8.661390	43.379480
8.705370	43.514256
8.749360	43.648920
8.790190	43.770842
8.831040	43.894757
8.875020	44.028689
8.919000	44.159527
8.962990	44.291538
9.006970	44.423473
9.050950	44.553975
9.094930	44.684502
9.138920	44.812962
9.182900	44.941295
9.230030	45.079577
9.277140	45.216009
9.321130	45.344484
9.365110	45.471172
9.409090	45.596671
